MITO PO ER
0.34890340 0.01896515 0.63213145
0.36715395 0.02286009 0.60998596
0.38001135 0.02528935 0.59469929
0.39459067 0.02822035 0.57718898
0.40651503 0.03075962 0.56272535
0.41487155 0.03261506 0.55251339
0.42792127 0.03563487 0.53644387
0.42792127 0.03563487 0.53644387
0.58842285 0.07581697 0.33576019
0.59462411 0.07693424 0.32844165
0.62012368 0.08074647 0.29912985
0.62308252 0.08115031 0.29576717
0.62308252 0.08115031 0.29576717
0.62308252 0.08115031 0.29576717
0.62551143 0.08150606 0.29298251
0.62551143 0.08150606 0.29298251
0.62966130 0.08242029 0.28791841
0.62886362 0.08348850 0.28764787
0.43970980 0.06266049 0.49762971
0.39036784 0.03022173 0.57941044
0.57638596 0.09396772 0.32964632
0.61341255 0.12593990 0.26064755
0.46376776 0.08918535 0.44704689
0.46376776 0.08918535 0.44704689
0.46376776 0.08918535 0.44704689
0.46376776 0.08918535 0.44704689
0.46376776 0.08918535 0.44704689
0.46376776 0.08918535 0.44704689
0.43827573 0.05063541 0.51108886
0.42708648 0.04536561 0.52754790
0.39120473 0.03672529 0.57206999
0.37089767 0.04772281 0.58137952
0.37541925 0.05451889 0.57006187
0.39683526 0.07646963 0.52669511
0.51424826 0.16463440 0.32111735
0.53275848 0.17224342 0.29499810
0.54581668 0.17666347 0.27751985
0.64311775 0.15959432 0.19728794
0.37996718 0.04678269 0.57325013
0.37711571 0.06198044 0.56090384
0.39670833 0.09596424 0.50732743
0.44799832 0.14115490 0.41084678
0.38808185 0.09035327 0.52156488
0.44425844 0.06257989 0.49316166
0.39237774 0.08460764 0.52301463
0.44376062 0.08269276 0.47354663
0.37433900 0.24735114 0.37830987
0.36453708 0.32200661 0.31345631
0.35198256 0.38470860 0.26330883
0.35198256 0.38470860 0.26330883
0.32486647 0.46572998 0.20940354
0.32486647 0.46572998 0.20940354
0.23543277 0.67709767 0.08746956
0.30302319 0.46469346 0.23228334
0.28781580 0.50296596 0.20921823
0.19918704 0.73148588 0.06932708
0.25761940 0.65753927 0.08484133
0.13157642 0.80751328 0.06091030
0.06804253 0.89419989 0.03775758
0.06804253 0.89419989 0.03775758
0.16540281 0.67207699 0.16252021
0.07606765 0.87628782 0.04764453
0.09219803 0.85259253 0.05520943
0.31571058 0.37841198 0.30587744
0.06431127 0.86688792 0.06880081
0.02606693 0.94434761 0.02958546
0.05345808 0.87728748 0.06925444
